symbol,rank,dimension7_v2_score,c1_trading_activity,c2_volatility_adj,c3_market_recognition,c4_volume_trends,c5_momentum,trade_volume_score,share_volume_score,trade_density_class,volatility_level,volume_trend,volume_ratio,momentum_confluence,momentum_5d_pct,momentum_20d_pct,momentum_60d_pct,momentum_5d_score,momentum_20d_score,momentum_60d_score,phase,components_active,metrics_available,scoring_date
JKH.N0000,1,80.2,95.0,60.0,50.0,95.0,95.0,95.0,95.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TKYO.N0000,2,79.8,95.0,55.0,50.0,95.0,95.0,95.0,95.0,institutional,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SUN.N0000,3,79.8,95.0,55.0,50.0,95.0,95.0,95.0,95.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
BIL.N0000,4,79.2,95.0,50.0,50.0,95.0,95.0,95.0,95.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
PLR.N0000,5,79.2,95.0,50.0,50.0,95.0,95.0,95.0,95.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AEL.N0000,6,79.2,95.0,50.0,50.0,95.0,95.0,95.0,95.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DOCK.N0000,7,79.2,95.0,50.0,50.0,95.0,95.0,95.0,95.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
RAL.N0000,8,79.2,95.0,50.0,50.0,95.0,95.0,95.0,95.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
VPEL.N0000,9,78.8,95.0,45.0,50.0,95.0,95.0,95.0,95.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TJL.N0000,10,78.8,95.0,45.0,50.0,95.0,95.0,95.0,95.0,institutional,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
EXT.N0000,11,78.8,95.0,45.0,50.0,95.0,95.0,95.0,95.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ACL.N0000,12,78.3,88.5,60.0,50.0,95.0,95.0,95.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TKYO.X0000,13,78.3,88.5,60.0,50.0,95.0,95.0,82.0,95.0,institutional,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
COMB.N0000,14,78.3,88.5,60.0,50.0,95.0,95.0,95.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SAMP.N0000,15,78.3,88.5,60.0,50.0,95.0,95.0,95.0,82.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
NHL.N0000,16,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
EML.N0000,17,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
JINS.N0000,18,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
EMER.N0000,19,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CWL.N0000,20,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ACME.N0000,21,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SCAP.N0000,22,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,institutional,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SIRA.N0000,23,77.8,88.5,55.0,50.0,95.0,95.0,82.0,95.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LMF.N0000,24,77.8,88.5,55.0,50.0,95.0,95.0,95.0,82.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LVEF.N0000,25,77.3,88.5,50.0,50.0,95.0,95.0,82.0,95.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HNB.N0000,26,77.3,88.5,50.0,50.0,95.0,95.0,95.0,82.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
YORK.N0000,27,77.3,88.5,50.0,50.0,95.0,95.0,95.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HVA.N0000,28,77.3,88.5,50.0,50.0,95.0,95.0,82.0,95.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
WLTH.N0000,29,77.3,88.5,50.0,50.0,95.0,95.0,95.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
UBF.N0000,30,76.8,88.5,45.0,50.0,95.0,95.0,82.0,95.0,institutional,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
UML.N0000,31,76.8,88.5,45.0,50.0,95.0,95.0,95.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SINH.N0000,32,76.8,88.5,45.0,50.0,95.0,95.0,82.0,95.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CIC.N0000,33,76.3,82.0,60.0,50.0,95.0,95.0,82.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SHOT.X0000,34,76.3,88.5,40.0,50.0,95.0,95.0,82.0,95.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HAYL.N0000,35,76.3,82.0,60.0,50.0,95.0,95.0,82.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HHL.N0000,36,76.3,82.0,60.0,50.0,95.0,95.0,82.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CRL.N0000,37,76.3,88.5,40.0,50.0,95.0,95.0,82.0,95.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
NDB.N0000,38,75.8,82.0,55.0,50.0,95.0,95.0,82.0,82.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CIC.X0000,39,75.8,82.0,55.0,50.0,95.0,95.0,82.0,82.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
RIL.N0000,40,75.8,82.0,55.0,50.0,95.0,95.0,82.0,82.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KZOO.N0000,41,75.3,82.0,50.0,50.0,95.0,95.0,82.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SEYB.X0000,42,75.3,82.0,50.0,50.0,95.0,95.0,82.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
JETS.N0000,43,75.3,82.0,50.0,50.0,95.0,95.0,82.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
WAPO.N0000,44,75.3,82.0,50.0,50.0,95.0,95.0,82.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CBNK.N0000,45,75.3,82.0,50.0,50.0,95.0,95.0,82.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MHDL.N0000,46,74.8,82.0,45.0,50.0,95.0,95.0,82.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CFIN.N0000,47,74.8,78.5,55.0,50.0,95.0,95.0,95.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
PABC.N0000,48,74.8,82.0,45.0,50.0,95.0,95.0,82.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HNBF.N0000,49,74.8,78.5,55.0,50.0,95.0,95.0,62.0,95.0,institutional,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KPHL.N0000,50,74.8,82.0,45.0,50.0,95.0,95.0,82.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HBS.N0000,51,74.8,78.5,55.0,50.0,95.0,95.0,62.0,95.0,institutional,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AAIC.N0000,52,74.3,78.5,50.0,50.0,95.0,95.0,95.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TESS.N0000,53,73.8,78.5,45.0,50.0,95.0,95.0,62.0,95.0,institutional,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CALT.N0000,54,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MGT.N0000,55,73.3,72.0,60.0,50.0,95.0,95.0,62.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CFVF.N0000,56,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DFCC.N0000,57,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LGL.N0000,58,73.3,72.0,60.0,50.0,95.0,95.0,62.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DIPD.N0000,59,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CALH.N0000,60,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CSLK.N0000,61,72.8,72.0,55.0,50.0,95.0,95.0,62.0,82.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LFIN.N0000,62,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DIST.N0000,63,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KCAB.N0000,64,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
RCL.N0000,65,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DIAL.N0000,66,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AGST.N0000,67,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KOTA.N0000,68,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LCBF.N0000,69,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HNB.X0000,70,72.3,72.0,50.0,50.0,95.0,95.0,82.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ASIY.N0000,71,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
COOP.N0000,72,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
FCT.N0000,73,72.3,72.0,50.0,50.0,95.0,95.0,82.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LOFC.N0000,74,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CLND.N0000,75,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HNBF.X0000,76,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LUMX.N0000,77,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
WATA.N0000,78,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,retail,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MDL.N0000,79,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HPWR.N0000,80,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CTBL.N0000,81,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MEL.N0000,82,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ALUM.N0000,83,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SIGV.N0000,84,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,retail,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
PARQ.N0000,85,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,retail,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KHL.N0000,86,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TAP.N0000,87,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SPEN.N0000,88,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AAF.N0000,89,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
NTB.N0000,90,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
UAL.N0000,91,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
COMB.X0000,92,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MELS.N0000,93,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LIOC.N0000,94,70.3,62.0,60.0,50.0,95.0,95.0,62.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
