symbol,rank,dimension7_v2_score,component1_trading_activity,component2_volatility_adj,component3_market_recognition,trade_volume_score,share_volume_score,trade_density_class,volatility_level,phase,metrics_available,scoring_date
SAMP.N0000,1,69.0,95.0,60.0,50.0,95.0,95.0,mixed,very_low,1A,4,2026-02-13
COMB.N0000,2,69.0,95.0,60.0,50.0,95.0,95.0,mixed,very_low,1A,4,2026-02-13
HHL.N0000,3,68.5,95.0,55.0,50.0,95.0,95.0,mixed,low,1A,4,2026-02-13
BIL.N0000,4,68.5,95.0,55.0,50.0,95.0,95.0,institutional,low,1A,4,2026-02-13
SIRA.N0000,5,68.5,95.0,55.0,50.0,95.0,95.0,mixed,low,1A,4,2026-02-13
JKH.N0000,6,68.5,95.0,55.0,50.0,95.0,95.0,mixed,low,1A,4,2026-02-13
CIC.N0000,7,68.0,95.0,50.0,50.0,95.0,95.0,mixed,moderate,1A,4,2026-02-13
ACL.N0000,8,68.0,95.0,50.0,50.0,95.0,95.0,mixed,moderate,1A,4,2026-02-13
LGL.N0000,9,68.0,95.0,50.0,50.0,95.0,95.0,mixed,moderate,1A,4,2026-02-13
RAL.N0000,10,67.5,95.0,45.0,50.0,95.0,95.0,institutional,high,1A,4,2026-02-13
CIC.X0000,11,67.5,95.0,45.0,50.0,95.0,95.0,mixed,high,1A,4,2026-02-13
MFPE.N0000,12,67.5,95.0,45.0,50.0,95.0,95.0,mixed,high,1A,4,2026-02-13
BFL.N0000,13,67.0,95.0,40.0,50.0,95.0,95.0,mixed,very_high,1A,4,2026-02-13
SDB.N0000,14,67.0,95.0,40.0,50.0,95.0,95.0,mixed,very_high,1A,4,2026-02-13
HBS.N0000,15,67.0,95.0,40.0,50.0,95.0,95.0,mixed,very_high,1A,4,2026-02-13
ASIY.N0000,16,67.0,95.0,40.0,50.0,95.0,95.0,mixed,very_high,1A,4,2026-02-13
JFP.N0000,17,67.0,95.0,40.0,50.0,95.0,95.0,mixed,very_high,1A,4,2026-02-13
DFCC.N0000,18,66.4,88.5,60.0,50.0,95.0,82.0,mixed,very_low,1A,4,2026-02-13
AEL.N0000,19,66.4,88.5,60.0,50.0,95.0,82.0,mixed,very_low,1A,4,2026-02-13
RCL.N0000,20,66.4,88.5,60.0,50.0,82.0,95.0,mixed,very_low,1A,4,2026-02-13
CALH.N0000,21,66.4,88.5,60.0,50.0,82.0,95.0,institutional,very_low,1A,4,2026-02-13
PLR.N0000,22,65.9,88.5,55.0,50.0,82.0,95.0,mixed,low,1A,4,2026-02-13
HAYL.N0000,23,65.9,88.5,55.0,50.0,95.0,82.0,retail,low,1A,4,2026-02-13
CBNK.N0000,24,65.9,88.5,55.0,50.0,82.0,95.0,mixed,low,1A,4,2026-02-13
TAP.N0000,25,65.4,88.5,50.0,50.0,95.0,82.0,mixed,moderate,1A,4,2026-02-13
CSLK.N0000,26,65.4,88.5,50.0,50.0,82.0,95.0,mixed,moderate,1A,4,2026-02-13
NDB.N0000,27,65.4,88.5,50.0,50.0,95.0,82.0,mixed,moderate,1A,4,2026-02-13
PABC.N0000,28,64.9,88.5,45.0,50.0,95.0,82.0,mixed,high,1A,4,2026-02-13
LVEF.N0000,29,64.9,88.5,45.0,50.0,82.0,95.0,mixed,high,1A,4,2026-02-13
HDFC.N0000,30,64.9,88.5,45.0,50.0,95.0,82.0,mixed,high,1A,4,2026-02-13
LCBF.N0000,31,64.9,88.5,45.0,50.0,82.0,95.0,institutional,high,1A,4,2026-02-13
DOCK.N0000,32,64.4,88.5,40.0,50.0,95.0,82.0,retail,very_high,1A,4,2026-02-13
SUN.N0000,33,63.8,82.0,60.0,50.0,82.0,82.0,mixed,very_low,1A,4,2026-02-13
DIPD.N0000,34,63.8,82.0,60.0,50.0,82.0,82.0,mixed,very_low,1A,4,2026-02-13
TKYO.X0000,35,63.8,82.0,60.0,50.0,82.0,82.0,mixed,very_low,1A,4,2026-02-13
FCT.N0000,36,63.8,82.0,60.0,50.0,82.0,82.0,retail,very_low,1A,4,2026-02-13
LMF.N0000,37,63.8,82.0,60.0,50.0,82.0,82.0,mixed,very_low,1A,4,2026-02-13
OSEA.N0000,38,63.3,82.0,55.0,50.0,82.0,82.0,mixed,low,1A,4,2026-02-13
DIAL.N0000,39,63.3,82.0,55.0,50.0,82.0,82.0,mixed,low,1A,4,2026-02-13
PKME.N0000,40,63.3,82.0,55.0,50.0,82.0,82.0,mixed,low,1A,4,2026-02-13
HNB.X0000,41,63.3,82.0,55.0,50.0,82.0,82.0,mixed,low,1A,4,2026-02-13
ASCO.N0000,42,63.3,82.0,55.0,50.0,82.0,82.0,mixed,low,1A,4,2026-02-13
ALUM.N0000,43,63.3,82.0,55.0,50.0,82.0,82.0,mixed,low,1A,4,2026-02-13
COCO.N0000,44,62.8,82.0,50.0,50.0,82.0,82.0,mixed,moderate,1A,4,2026-02-13
VLL.N0000,45,62.8,82.0,50.0,50.0,82.0,82.0,mixed,moderate,1A,4,2026-02-13
JAT.N0000,46,62.8,82.0,50.0,50.0,82.0,82.0,mixed,moderate,1A,4,2026-02-13
RIL.N0000,47,62.8,82.0,50.0,50.0,82.0,82.0,mixed,moderate,1A,4,2026-02-13
HNBF.N0000,48,62.3,82.0,45.0,50.0,82.0,82.0,mixed,high,1A,4,2026-02-13
AFS.N0000,49,62.3,82.0,45.0,50.0,82.0,82.0,mixed,high,1A,4,2026-02-13
CTBL.N0000,50,61.8,82.0,40.0,50.0,82.0,82.0,mixed,very_high,1A,4,2026-02-13
KZOO.N0000,51,61.4,78.5,50.0,50.0,62.0,95.0,institutional,moderate,1A,4,2026-02-13
RHL.N0000,52,61.4,78.5,50.0,50.0,62.0,95.0,institutional,moderate,1A,4,2026-02-13
SINH.N0000,53,60.9,78.5,45.0,50.0,62.0,95.0,institutional,high,1A,4,2026-02-13
ASPH.N0000,54,60.4,78.5,40.0,50.0,62.0,95.0,institutional,very_high,1A,4,2026-02-13
TAFL.N0000,55,60.4,78.5,40.0,50.0,95.0,62.0,retail,very_high,1A,4,2026-02-13
SEMB.N0000,56,60.4,78.5,40.0,50.0,62.0,95.0,institutional,very_high,1A,4,2026-02-13
GRAN.N0000,57,60.4,78.5,40.0,50.0,95.0,62.0,retail,very_high,1A,4,2026-02-13
COCR.N0000,58,59.8,72.0,60.0,50.0,82.0,62.0,retail,very_low,1A,4,2026-02-13
TJL.N0000,59,59.8,72.0,60.0,50.0,82.0,62.0,retail,very_low,1A,4,2026-02-13
CFVF.N0000,60,59.8,72.0,60.0,50.0,82.0,62.0,retail,very_low,1A,4,2026-02-13
TKYO.N0000,61,59.8,72.0,60.0,50.0,62.0,82.0,mixed,very_low,1A,4,2026-02-13
DIST.N0000,62,59.8,72.0,60.0,50.0,62.0,82.0,mixed,very_low,1A,4,2026-02-13
HAYC.N0000,63,59.8,72.0,60.0,50.0,82.0,62.0,mixed,very_low,1A,4,2026-02-13
WATA.N0000,64,59.8,72.0,60.0,50.0,82.0,62.0,mixed,very_low,1A,4,2026-02-13
CALT.N0000,65,59.8,72.0,60.0,50.0,82.0,62.0,retail,very_low,1A,4,2026-02-13
AAIC.N0000,66,59.3,72.0,55.0,50.0,82.0,62.0,mixed,low,1A,4,2026-02-13
AGST.N0000,67,59.3,72.0,55.0,50.0,62.0,82.0,mixed,low,1A,4,2026-02-13
SEYB.X0000,68,59.3,72.0,55.0,50.0,62.0,82.0,mixed,low,1A,4,2026-02-13
COMB.X0000,69,59.3,72.0,55.0,50.0,82.0,62.0,retail,low,1A,4,2026-02-13
LOFC.N0000,70,59.3,72.0,55.0,50.0,62.0,82.0,mixed,low,1A,4,2026-02-13
BERU.N0000,71,59.3,72.0,55.0,50.0,62.0,82.0,mixed,low,1A,4,2026-02-13
COOP.N0000,72,58.8,72.0,50.0,50.0,62.0,82.0,mixed,moderate,1A,4,2026-02-13
KHL.N0000,73,58.8,72.0,50.0,50.0,62.0,82.0,mixed,moderate,1A,4,2026-02-13
JETS.N0000,74,58.8,72.0,50.0,50.0,82.0,62.0,mixed,moderate,1A,4,2026-02-13
ABL.N0000,75,58.8,72.0,50.0,50.0,82.0,62.0,mixed,moderate,1A,4,2026-02-13
HEXP.N0000,76,58.8,72.0,50.0,50.0,82.0,62.0,retail,moderate,1A,4,2026-02-13
EAST.N0000,77,58.8,72.0,50.0,50.0,82.0,62.0,mixed,moderate,1A,4,2026-02-13
HNB.N0000,78,58.8,72.0,50.0,50.0,82.0,62.0,retail,moderate,1A,4,2026-02-13
CITH.N0000,79,58.8,72.0,50.0,50.0,62.0,82.0,mixed,moderate,1A,4,2026-02-13
KCAB.N0000,80,58.8,72.0,50.0,50.0,82.0,62.0,retail,moderate,1A,4,2026-02-13
KOTA.N0000,81,58.8,72.0,50.0,50.0,62.0,82.0,mixed,moderate,1A,4,2026-02-13
UBF.N0000,82,58.3,72.0,45.0,50.0,62.0,82.0,mixed,high,1A,4,2026-02-13
SERV.N0000,83,58.3,72.0,45.0,50.0,62.0,82.0,mixed,high,1A,4,2026-02-13
EMER.N0000,84,58.3,72.0,45.0,50.0,62.0,82.0,mixed,high,1A,4,2026-02-13
MBSL.N0000,85,58.3,72.0,45.0,50.0,62.0,82.0,mixed,high,1A,4,2026-02-13
SLTL.N0000,86,58.3,72.0,45.0,50.0,82.0,62.0,mixed,high,1A,4,2026-02-13
MDL.N0000,87,57.8,72.0,40.0,50.0,62.0,82.0,mixed,very_high,1A,4,2026-02-13
SIGV.N0000,88,57.8,72.0,40.0,50.0,82.0,62.0,retail,very_high,1A,4,2026-02-13
WAPO.N0000,89,57.8,72.0,40.0,50.0,82.0,62.0,retail,very_high,1A,4,2026-02-13
APLA.N0000,90,55.9,66.0,45.0,50.0,95.0,37.0,retail,high,1A,4,2026-02-13
BOGA.N0000,91,55.9,66.0,45.0,50.0,95.0,37.0,retail,high,1A,4,2026-02-13
SINS.N0000,92,55.8,62.0,60.0,50.0,62.0,62.0,mixed,very_low,1A,4,2026-02-13
MELS.N0000,93,55.8,62.0,60.0,50.0,62.0,62.0,retail,very_low,1A,4,2026-02-13
CFIN.N0000,94,55.8,62.0,60.0,50.0,62.0,62.0,mixed,very_low,1A,4,2026-02-13
CIND.N0000,95,55.8,62.0,60.0,50.0,62.0,62.0,retail,very_low,1A,4,2026-02-13
NAMU.N0000,96,55.4,66.0,40.0,50.0,95.0,37.0,retail,very_high,1A,4,2026-02-13
SEMB.X0000,97,55.4,66.0,40.0,50.0,37.0,95.0,institutional,very_high,1A,4,2026-02-13
MERC.N0000,98,55.3,62.0,55.0,50.0,62.0,62.0,retail,low,1A,4,2026-02-13
HELA.N0000,99,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
PARQ.N0000,100,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
VFIN.N0000,101,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
AAF.N0000,102,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
MGT.N0000,103,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
EBCR.N0000,104,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
PAP.N0000,105,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
PLC.N0000,106,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
UBC.N0000,107,55.3,62.0,55.0,50.0,62.0,62.0,mixed,low,1A,4,2026-02-13
NHL.N0000,108,54.8,62.0,50.0,50.0,62.0,62.0,mixed,moderate,1A,4,2026-02-13
SHL.N0000,109,54.8,62.0,50.0,50.0,62.0,62.0,mixed,moderate,1A,4,2026-02-13
RICH.N0000,110,54.8,62.0,50.0,50.0,62.0,62.0,mixed,moderate,1A,4,2026-02-13
LDEV.N0000,111,54.8,62.0,50.0,50.0,62.0,62.0,mixed,moderate,1A,4,2026-02-13
ACAP.N0000,112,54.8,62.0,50.0,50.0,62.0,62.0,mixed,moderate,1A,4,2026-02-13
CSD.N0000,113,54.8,62.0,50.0,50.0,62.0,62.0,mixed,moderate,1A,4,2026-02-13
CWM.N0000,114,54.3,62.0,45.0,50.0,62.0,62.0,retail,high,1A,4,2026-02-13
HNBF.X0000,115,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
LGL.X0000,116,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
AGPL.N0000,117,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
LOLC.N0000,118,54.3,59.5,55.0,50.0,82.0,37.0,retail,low,1A,4,2026-02-13
AGAL.N0000,119,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
VPEL.N0000,120,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
SDF.N0000,121,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
SFIN.N0000,122,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
RWSL.N0000,123,54.3,62.0,45.0,50.0,62.0,62.0,mixed,high,1A,4,2026-02-13
CABO.N0000,124,53.8,62.0,40.0,50.0,62.0,62.0,retail,very_high,1A,4,2026-02-13
UML.N0000,125,53.8,59.5,50.0,50.0,82.0,37.0,retail,moderate,1A,4,2026-02-13
MCPL.N0000,126,53.8,62.0,40.0,50.0,62.0,62.0,retail,very_high,1A,4,2026-02-13
MULL.N0000,127,53.8,62.0,40.0,50.0,62.0,62.0,mixed,very_high,1A,4,2026-02-13
ATL.N0000,128,53.8,62.0,40.0,50.0,62.0,62.0,mixed,very_high,1A,4,2026-02-13
CITW.N0000,129,53.8,59.5,50.0,50.0,37.0,82.0,mixed,moderate,1A,4,2026-02-13
TESS.N0000,130,53.3,59.5,45.0,50.0,37.0,82.0,institutional,high,1A,4,2026-02-13
NTB.N0000,131,50.8,49.5,60.0,50.0,62.0,37.0,retail,very_low,1A,4,2026-02-13
VONE.N0000,132,50.8,49.5,60.0,50.0,62.0,37.0,retail,very_low,1A,4,2026-02-13
LIOC.N0000,133,50.8,49.5,60.0,50.0,62.0,37.0,retail,very_low,1A,4,2026-02-13
MARA.N0000,134,50.8,49.5,60.0,50.0,37.0,62.0,mixed,very_low,1A,4,2026-02-13
LLUB.N0000,135,50.8,49.5,60.0,50.0,62.0,37.0,retail,very_low,1A,4,2026-02-13
JINS.N0000,136,50.8,49.5,60.0,50.0,62.0,37.0,retail,very_low,1A,4,2026-02-13
PACK.N0000,137,50.8,49.5,60.0,50.0,37.0,62.0,mixed,very_low,1A,4,2026-02-13
COLO.N0000,138,50.8,49.5,60.0,50.0,37.0,62.0,mixed,very_low,1A,4,2026-02-13
BRWN.N0000,139,50.8,49.5,60.0,50.0,62.0,37.0,retail,very_low,1A,4,2026-02-13
CCS.N0000,140,50.8,49.5,60.0,50.0,62.0,37.0,retail,very_low,1A,4,2026-02-13
GHLL.N0000,141,50.3,49.5,55.0,50.0,37.0,62.0,mixed,low,1A,4,2026-02-13
LUMX.N0000,142,50.3,49.5,55.0,50.0,37.0,62.0,mixed,low,1A,4,2026-02-13
LPL.N0000,143,50.3,49.5,55.0,50.0,37.0,62.0,mixed,low,1A,4,2026-02-13
WIND.N0000,144,50.3,49.5,55.0,50.0,62.0,37.0,retail,low,1A,4,2026-02-13
CLND.N0000,145,50.3,49.5,55.0,50.0,37.0,62.0,mixed,low,1A,4,2026-02-13
